1   0.0476519 0.385233 0.192935 -0.0947485 -0.219805 -0.0090735 -0.213434 0.21935 0.297879 -0.207967 -0.3763 -0.134424 -0.0439446 0.210162 -0.19074 0.239773 -0.243424 0.188329 -0.157874 -0.208506 -0.00369043 -0.0607089 -0.128348 0.39817 0.0935771 -0.230127 0.295123 -0.19442 -0.0537408 0.108562 -0.00394011 0.275373 -0.071215 -0.0565971 0.212763 -0.142105 0.0890783 -0.0285641 0.175673 -0.0134575 0.119032 -0.0928323 0.176511 0.371547 -0.147587 0.128831 -0.119544 -0.0984794 0.170068 0.292044 0.177814 -0.0847565 0.378193 0.0506709 0.0424061 0.243194 0.196362 0.0494147 -0.183021 -0.22715 0.0309944 -0.0374083 0.0529762 -0.361716 0.508007 -0.492555 -0.0261118 0.176386 -0.0115405 0.223445 -0.155761 -0.00255902 0.132378 -0.17313 -0.092653 -0.103672 -0.0360585 -0.0758219 -0.175625 -0.0332827 -0.454103 -0.400128 0.185097 0.256514 -0.518212 0.226587 -0.468224 -0.0769775 0.129743 0.255224 -0.0900462 -0.322994 0.0892024 -0.00222159 0.182778 -0.0805542 -0.202348 -0.109916 0.1118 -0.0895534 
2   -0.057139 0.431977 0.038794 -0.124902 -0.104177 -0.089772 -0.137293 0.056984 0.517124 0.190498 -0.423652 -0.316642 -0.200024 0.0115088 0.17317 0.245796 -0.646224 -0.135088 -0.318612 -0.242619 0.439288 0.00545939 0.0552373 -0.0813186 0.151547 -0.294034 0.00388026 0.187014 -0.119909 0.146467 -0.456239 0.412348 0.0702929 -0.0231488 -0.0148646 -0.23567 -0.174197 -0.259338 0.0588741 0.297313 -0.076957 0.116929 0.140028 0.227741 0.200732 -0.159961 -0.227283 -0.0660166 0.269845 0.3403 0.0835654 -0.245554 0.174895 -0.473792 -0.241528 0.40767 0.323872 -0.115262 -0.242058 -0.148213 -0.125573 -0.349329 0.372098 -0.596972 0.581748 -0.285231 -0.273267 0.083356 -0.0216069 -0.0448102 -0.106907 -0.0304059 -0.0616001 -0.586458 -0.15382 -0.0138078 0.0301241 -0.29845 -0.0323556 0.0754699 -0.722949 -0.454215 0.285719 0.523768 -0.397139 0.395564 -1.08303 -0.194087 0.0565943 -0.162363 0.181003 -0.485028 0.165731 -0.208954 -0.0542238 -0.296844 -0.459318 -0.205181 0.00537961 -0.818837 
3   -0.0322262 0.742215 0.000877879 0.112438 -0.134769 -0.272966 -0.242023 -0.143195 0.294799 0.456683 -0.663913 -0.181071 0.324645 0.0568911 0.160663 0.633195 -0.774933 -0.162372 -0.337178 -0.401743 0.449063 -0.382882 -0.159562 -0.263639 -0.37909 -0.078205 -0.0593516 0.499612 -0.137188 -0.130621 -0.227898 0.276479 -0.420296 -0.497763 -0.186464 -0.522025 -0.102366 -0.0263716 0.334771 0.520191 0.151124 -0.0965799 0.299825 0.46326 0.354584 -0.450067 -0.300716 -0.730268 0.452748 0.322588 0.288797 -0.420718 0.277801 -0.733689 0.161175 0.378591 0.529004 -0.271267 -0.638632 -0.674293 -0.0238044 -0.31772 -0.0495102 -0.371779 0.451085 0.293392 -0.173645 0.49395 -0.165094 -0.258218 -0.277549 -0.111058 -0.342599 -0.721026 -0.160192 -0.533289 0.249736 -0.441981 -0.335929 -0.036544 -1.10128 -0.324427 -0.0689262 0.439646 -0.680891 -0.0972926 -1.46265 -0.486178 0.445291 -0.0855537 -0.0702261 -0.532264 -0.324226 -0.15616 -0.253529 -0.541615 -0.244711 -0.30805 -0.24192 -0.774855 
4   -0.0232345 0.680076 0.378539 -0.0278431 -0.205339 -0.385621 -0.143068 -0.18595 0.673523 0.667592 -0.186594 -0.302228 0.135916 -0.0365312 0.111008 0.666988 -0.496708 -0.0955623 -0.610761 -0.582323 0.405448 -0.209488 0.0511124 -0.487594 -0.453915 0.38048 -0.244383 0.237692 0.137782 0.121973 -0.371982 0.027505 -0.257561 -1.01851 -0.412636 -0.473605 -0.0896262 -0.0733698 0.206396 0.562487 0.154435 -0.182037 0.0130093 0.653849 0.117356 -0.581009 -0.555596 -0.655266 0.259953 0.184189 0.444723 -0.670811 -0.00908186 -0.386503 0.418481 0.296222 0.670594 -0.407531 -0.918146 -0.651422 0.0217377 -0.711823 -0.198496 -0.0469153 0.180992 0.358188 0.153894 0.62117 0.0135119 -0.497013 -0.174223 0.0657791 -0.0236713 -0.668652 -0.0128942 -0.659707 0.246748 -0.303303 -0.334273 -0.222912 -1.24306 -0.618856 0.243242 0.78168 -0.797873 0.097648 -1.08035 -0.799984 0.337074 -0.0899551 0.145233 -0.383049 -0.36827 0.176273 -0.342708 -0.237081 -0.416725 -0.411631 -0.372629 -0.724509 
5   -0.0918305 0.610999 0.805555 0.48098 -0.367772 -0.736942 0.183523 -0.30876 0.694205 0.866398 0.0158974 -0.200231 0.172478 -0.0423152 0.241365 0.368222 -0.522693 -0.525763 -0.192114 -1.01023 0.332108 -0.115927 -0.0370661 -0.0480662 0.329915 -0.10571 0.0633488 -0.0160973 0.311048 -0.187416 -0.287116 -0.00141441 -0.317773 -0.72765 -0.369638 -0.349102 -0.0668312 -0.0554679 0.23277 0.636457 -0.0389065 -0.140665 -0.283032 0.494621 0.24309 -0.707772 -0.394269 -0.244068 0.135716 -0.234662 0.81119 -0.872511 -0.177612 -0.596719 0.296106 0.175268 0.137502 0.0332214 -0.708502 -0.530373 -0.141294 -0.610441 -0.35009 0.0489482 0.433427 0.765785 0.358633 0.383043 0.222385 -0.775968 -0.497423 0.0687087 -0.149082 -0.519931 0.0459492 -0.514327 0.766179 -0.817323 -0.591356 -0.323939 -1.28081 -0.506951 0.300281 0.577149 -0.859349 0.283321 -1.10302 -0.974239 -0.0124992 -0.249146 0.0423605 -0.0309655 -0.629949 -0.0171047 -0.271138 -0.503908 -0.00463268 -0.346639 -0.0246549 -0.364175 
6   -0.0209039 0.537957 1.42459 0.355802 -0.627983 -0.219832 0.506745 0.139618 0.71542 1.11201 -0.418102 -0.141482 -0.189057 0.0897072 0.404541 0.571036 -0.797238 -0.463536 -0.15031 -1.73962 0.411524 0.088179 -0.109713 0.297182 0.271695 -0.0600655 0.126424 0.206016 0.146064 -0.155927 -0.664804 0.107049 -0.402196 -0.714569 0.0503876 -0.0552691 0.0616385 -0.102355 0.85891 0.148191 0.0291349 -0.432207 -0.252833 0.602638 0.311067 -0.771792 -0.469384 -0.169948 0.0839837 -0.4643 0.773577 -0.930477 -0.488628 -0.802582 0.473925 0.115538 -0.367735 -0.121699 -0.538668 -0.517237 -0.0369974 -0.651159 -0.57248 -0.18794 0.397951 0.686825 0.358866 0.0595549 0.301894 -0.740833 -0.557199 0.147721 -0.186841 -0.462718 -0.614203 -0.957724 0.833956 -0.691593 -0.352065 -0.350063 -1.63615 -0.716874 0.0959894 0.688898 -0.95647 0.526513 -0.833247 -1.05787 0.245862 -0.181137 0.0254433 0.0784111 -0.605781 0.413429 0.147546 -0.181482 -0.0303631 -0.315023 -0.21036 -0.637667 
7   -0.118313 0.358676 1.59348 0.405599 -0.987349 -0.0762333 0.466654 -0.120214 0.709785 1.07796 -0.456621 -0.134751 -0.038232 0.375161 0.12996 0.323436 -0.967149 -0.69036 -0.0230569 -1.66163 0.735527 0.282249 -0.266615 0.030262 0.288796 -0.219571 -0.109715 0.563801 -0.0803039 -0.499197 -0.818838 -0.0658417 -0.141693 -0.620839 -0.17403 -0.289861 0.123868 0.334991 0.874841 -0.184914 -0.0183893 0.0127886 -0.326548 0.968784 0.316393 -0.813626 -0.692861 -0.467115 0.255085 -0.411871 0.801193 -0.948363 -0.104503 -0.940617 0.891865 0.0754078 -0.455318 -0.476333 -0.630053 -0.582705 -0.262095 -0.876617 -0.397209 0.0811903 0.490909 0.827863 0.257884 0.474027 0.312185 -0.377863 -0.548198 0.274108 -0.417961 -0.304613 -0.671704 -0.763731 1.00879 -1.14424 -0.619732 -0.676268 -1.42923 -0.992844 0.328508 0.700717 -1.29936 0.593668 -0.868995 -1.00713 0.239921 0.194963 0.0389649 0.535829 -0.690741 0.517639 7.23616e-05 -0.715258 -0.14544 -0.0521735 -0.131812 -1.00773 
8   -0.428788 0.268565 1.72165 0.245503 -0.9788 0.265419 0.707183 -0.15454 0.635052 1.03632 -0.935628 -0.269918 -0.418254 0.773714 0.320087 0.329575 -0.935408 -0.975725 -0.0642314 -1.2314 0.906203 0.943432 -0.164726 -0.187253 0.411775 -0.373733 -0.103369 0.918104 0.0437676 -0.654098 -0.886107 -0.192793 -0.0289275 -0.669443 -0.137333 -0.0268908 0.142489 0.516813 0.777792 0.0431026 -0.0954152 0.0709951 -0.196252 0.616661 0.629961 -0.802747 -1.05366 -0.308142 -0.0231164 -0.460961 0.636765 -0.860189 -0.520547 -1.30491 1.09653 0.360701 -0.669375 -0.755932 -0.597695 -0.0919405 -0.480569 -1.1316 -0.292413 -0.19557 0.350078 1.09162 0.0302854 0.173642 0.224287 -0.275944 -0.551306 -0.12158 -0.382095 -0.31075 -1.23325 -0.620134 1.12805 -1.44786 -0.842799 -0.645283 -2.12915 -0.944783 0.258684 0.745463 -1.50957 0.0169853 -0.99439 -1.13184 0.257458 0.139655 0.02706 0.391724 -1.37769 0.840659 -0.235291 -0.849631 -0.305973 0.0532339 0.117541 -1.53965 
9   -0.33004 0.721746 1.6869 0.636323 -1.14429 0.369735 0.810222 -0.613356 0.593119 1.18376 -0.997298 -0.111977 -0.621367 0.940666 0.105502 0.315435 -1.35324 -0.708106 -0.161305 -1.31849 0.395826 0.752481 0.0170583 -0.377553 0.179271 -0.687288 -0.178651 0.869375 -0.240757 -0.649062 -0.855679 -0.281082 0.578719 -0.651551 0.0626127 -0.103853 0.0630139 0.683522 0.797927 0.0510025 0.239311 0.0491732 -0.20499 0.526636 0.465249 -0.821617 -0.936131 -0.348249 -0.472864 -0.0733648 0.70017 -1.17418 -0.250044 -1.78883 0.939621 0.150313 -0.501348 -0.457065 -0.774921 0.147153 -0.465508 -1.161 -0.133174 -0.238826 0.170063 1.20116 -0.239441 0.563345 0.670138 0.063931 -0.759649 -0.10587 -0.578915 -0.0984119 -1.0282 -0.852405 1.08541 -1.4148 -1.21173 -0.342827 -2.29157 -0.902645 0.371592 1.09116 -1.65777 0.0229265 -0.97535 -0.997907 0.345046 0.0561127 0.404765 0.325069 -1.1052 0.993012 -0.322247 -1.17049 -0.391319 -0.482721 0.576547 -1.85703 
10   -0.465208 0.682596 1.47501 0.874617 -0.83047 0.415095 0.427277 -0.816185 0.68454 1.49479 -0.719191 0.00171548 -0.910264 0.730229 0.289822 0.519787 -1.19973 -0.348087 -0.24271 -1.60778 0.323925 0.880635 0.230337 0.180795 0.384412 -0.57718 -0.144614 0.796712 0.0308779 -0.961604 -1.18285 -0.29275 0.205032 -0.970372 0.0906329 0.102083 0.0036979 0.530855 0.869328 -0.0594949 -0.240404 0.293884 0.00211208 0.451969 0.548856 -0.574802 -0.546561 0.00256364 -0.25963 -0.238399 0.754128 -1.49904 -0.381424 -1.76489 1.16614 0.152924 -0.308628 -0.369322 -0.981487 -0.221336 -0.492334 -0.949728 -0.133861 -0.344023 0.535448 1.37248 -0.11164 1.06626 1.13549 0.143106 -1.14253 -0.287123 -0.436521 -0.23181 -0.905453 -1.12781 1.42006 -1.37998 -1.60676 -0.237939 -2.33812 -0.828325 0.305246 1.13423 -1.39384 0.100991 -0.836261 -1.19756 0.21627 0.383698 0.593375 -0.107122 -1.33037 1.51673 0.0354223 -1.75389 -0.600017 -0.668879 0.204018 -2.46502 
